¿¬µµ,ÃëÇÐ·ü
1971,7
1972,7.3
1973,7.4
1974,7.5
1975,7.8
1976,8.8
1977,8.9
1978,9.4
1979,10.4
1980,12.4
1981,14.8
1982,18.8
1983,23.4
1984,27.5
1985,31.3
1986,34.5
1987,35.6
1988,35.3
1989,34.8
1990,35
1991,35.8
1992,37.8
1993,41.7
1994,43.6
1995,48
1996,53.7
1997,70.2
1998,67.2
1999,71.1
2000,74.7
2001,77.3
2002,80.7
2003,84.5
2004,89.8
2005,95.4
2006,99.9
2007,102.9
2008,103.1
2009,102.7
2010,101.7
2011,100.8
2012,98.3
2013,96.3
2014,94.4
2015,94
2016,93.7
2017,93.7
2018,93.3
2019,94
2020,96.9
2021,100.3
2022,103.3
