월,전력사용량
2008년1월,1080
2008년2월,992
2008년3월,1016
2008년4월,999
2008년5월,1018
2008년6월,1040
2008년7월,1072
2008년8월,1067
2008년9월,1055
2008년10월,1059
2008년11월,1107
2008년12월,1124
2009년1월,1081
2009년2월,1046
2009년3월,1022
2009년4월,1021
2009년5월,1022
2009년6월,1045
2009년7월,1065
2009년8월,1076
2009년9월,1059
2009년10월,1065
2009년11월,1125
2009년12월,1130
2010년1월,1089
2010년2월,1044
2010년3월,1042
2010년4월,1027
2010년5월,1022
2010년6월,1045
2010년7월,1072
2010년8월,1089
2010년9월,1065
2010년10월,1059
2010년11월,1110
2010년12월,1120
2011년1월,1080
2011년2월,1049
2011년3월,1021
2011년4월,1021
2011년5월,1028
2011년6월,1050
2011년7월,1086
2011년8월,1077
2011년9월,1056
2011년10월,1070
2011년11월,1120
2011년12월,1130
2012년1월,1093
2012년2월,1045
2012년3월,1036
2012년4월,1021
2012년5월,1018
2012년6월,1048
2012년7월,1081
2012년8월,1092
2012년9월,1057
2012년10월,1064
2012년11월,1123
2012년12월,1126
2013년1월,1091
2013년2월,1050
2013년3월,1018
2013년4월,1017
2013년5월,1024
2013년6월,1057
2013년7월,1081
2013년8월,1091
2013년9월,1062
2013년10월,1071
2013년11월,1121
2013년12월,1132
2014년1월,1077
2014년2월,1040
2014년3월,1020
2014년4월,1010
2014년5월,1019
2014년6월,1048
2014년7월,1071
2014년8월,1073
2014년9월,1057
2014년10월,1061
2014년11월,1103
2014년12월,1117
2015년1월,1083
2015년2월,1049
2015년3월,1012
2015년4월,1017
2015년5월,1023
2015년6월,1062
2015년7월,1085
2015년8월,1091
2015년9월,1059
2015년10월,1071
2015년11월,1121
2015년12월,1120
2016년1월,1091
2016년2월,1046
2016년3월,1019
2016년4월,1018
2016년5월,1034
2016년6월,1058
2016년7월,1101
2016년8월,1102
2016년9월,1073
2016년10월,1081
2016년11월,1118
2016년12월,1125
2017년1월,1087
2017년2월,1047
2017년3월,1027
2017년4월,1016
2017년5월,1036
2017년6월,1065
2017년7월,1117
2017년8월,1103
2017년9월,1067
2017년10월,1086
2017년11월,1123
2017년12월,1133
2018년1월,1099
2018년2월,1051
2018년3월,1030
2018년4월,1027
2018년5월,1044
2018년6월,1071
2018년7월,1140
2018년8월,1107
2018년9월,1077
2018년10월,1074
2018년11월,1116
2018년12월,1125
2019년1월,1099
2019년2월,1065
2019년3월,1054
2019년4월,1045
2019년5월,1050
2019년6월,1080
2019년7월,1120
2019년8월,1133
2019년9월,1112
2019년10월,1098
2019년11월,1139
2019년12월,1140
2020년1월,1115
2020년2월,1095
2020년3월,1085
2020년4월,1064
2020년5월,1077
2020년6월,1119
2020년7월,1124
2020년8월,1178
2020년9월,1120
2020년10월,1119
2020년11월,1172
2020년12월,1189
2021년1월,1132
2021년2월,1078
2021년3월,1048
2021년4월,1049
2021년5월,1061
2021년6월,1096
2021년7월,1169
2021년8월,1150
2021년9월,1111
2021년10월,1118
2021년11월,1152
2021년12월,1161
2022년1월,1122.6
2022년2월,1088.4
2022년3월,1083.6
2022년4월,1059.7
2022년5월,1057.5
2022년6월,1115.8
2022년7월,1166.6
2022년8월,1142.7
2022년9월,1105.6
2022년10월,1105
2022년11월,1149
2022년12월,1156
2023년1월,1131
2023년2월,1082
2023년3월,1063
2023년4월,1069
2023년5월,1076
2023년6월,1112
2023년7월,1164
2023년8월,1172
2023년9월,1142
2023년10월,1121
2023년11월,1161
2023년12월,1163
