월,평균기온
2008년1월,-1.7
2008년2월,-1.2
2008년3월,7.3
2008년4월,14.1
2008년5월,17.7
2008년6월,21.5
2008년7월,25.1
2008년8월,25.3
2008년9월,22
2008년10월,16.1
2008년11월,7.6
2008년12월,1.1
2009년1월,-2
2009년2월,2.9
2009년3월,6
2009년4월,12.7
2009년5월,19.1
2009년6월,22.4
2009년7월,24.3
2009년8월,25.7
2009년9월,21.8
2009년10월,16
2009년11월,6.9
2009년12월,-1
2010년1월,-4.5
2010년2월,1.4
2010년3월,4.3
2010년4월,9.5
2010년5월,17.2
2010년6월,23.4
2010년7월,25.8
2010년8월,26.5
2010년9월,21.8
2010년10월,14.5
2010년11월,6.5
2010년12월,-1.3
2011년1월,-7.2
2011년2월,1.2
2011년3월,3.6
2011년4월,10.7
2011년5월,17.9
2011년6월,22
2011년7월,24.6
2011년8월,25.8
2011년9월,21.8
2011년10월,14.2
2011년11월,10.7
2011년12월,-0.9
2012년1월,-2.8
2012년2월,-2
2012년3월,5.1
2012년4월,12.3
2012년5월,19.7
2012년6월,24.1
2012년7월,25.4
2012년8월,27.1
2012년9월,21
2012년10월,15.3
2012년11월,5.5
2012년12월,-4.1
2013년1월,-3.4
2013년2월,-1.2
2013년3월,5.1
2013년4월,10
2013년5월,18.2
2013년6월,24.4
2013년7월,25.5
2013년8월,27.7
2013년9월,21.8
2013년10월,15.8
2013년11월,6.2
2013년12월,-0.2
2014년1월,-0.7
2014년2월,1.9
2014년3월,7.9
2014년4월,14
2014년5월,18.9
2014년6월,23.1
2014년7월,26.1
2014년8월,25.2
2014년9월,22.1
2014년10월,15.6
2014년11월,9
2014년12월,-2.9
2015년1월,-0.9
2015년2월,1
2015년3월,6.3
2015년4월,13.3
2015년5월,18.9
2015년6월,23.6
2015년7월,25.8
2015년8월,26.3
2015년9월,22.4
2015년10월,15.5
2015년11월,8.9
2015년12월,1.6
2016년1월,-3.2
2016년2월,0.2
2016년3월,7
2016년4월,14.1
2016년5월,19.6
2016년6월,23.6
2016년7월,26.2
2016년8월,28
2016년9월,23.1
2016년10월,16.1
2016년11월,6.8
2016년12월,1.2
2017년1월,-1.8
2017년2월,-0.2
2017년3월,6.3
2017년4월,13.9
2017년5월,19.5
2017년6월,23.3
2017년7월,26.9
2017년8월,25.9
2017년9월,22.1
2017년10월,16.4
2017년11월,5.6
2017년12월,-1.9
2018년1월,-4
2018년2월,-1.6
2018년3월,8.1
2018년4월,13
2018년5월,18.2
2018년6월,23.1
2018년7월,27.8
2018년8월,28.8
2018년9월,21.5
2018년10월,13.1
2018년11월,7.8
2018년12월,-0.6
2019년1월,-0.9
2019년2월,1
2019년3월,7.1
2019년4월,12.1
2019년5월,19.4
2019년6월,22.5
2019년7월,25.9
2019년8월,27.2
2019년9월,22.6
2019년10월,16.4
2019년11월,7.6
2019년12월,1.4
2020년1월,1.6
2020년2월,2.5
2020년3월,7.7
2020년4월,11.1
2020년5월,18
2020년6월,23.9
2020년7월,24.1
2020년8월,26.5
2020년9월,21.4
2020년10월,14.3
2020년11월,8
2020년12월,-0.3
2021년1월,-2.4
2021년2월,2.7
2021년3월,9
2021년4월,14.2
2021년5월,17.1
2021년6월,22.8
2021년7월,28.1
2021년8월,25.9
2021년9월,22.6
2021년10월,15.6
2021년11월,8.2
2021년12월,0.6
2022년1월,-2.2
2022년2월,-1.1
2022년3월,7.7
2022년4월,14.8
2022년5월,19.1
2022년6월,23.3
2022년7월,27.3
2022년8월,25.7
2022년9월,22.4
2022년10월,14.6
2022년11월,10
2022년12월,-2.8
2023년1월,-1.5
2023년2월,2.3
2023년3월,9.8
2023년4월,13.8
2023년5월,19.5
2023년6월,23.4
2023년7월,26.7
2023년8월,27.2
2023년9월,23.7
2023년10월,15.8
2023년11월,6.8
2023년12월,1.1
